,Date,Nationality,Visitor_Index,Seat_Index,Outbound_Index,Stock index value,Temperature Difference,Oil Price,Exchange Rate to USD,Google Searches,Flight Prices,Trade Flows,Visa Policy,Vacation Days
0,2013-01-01,Australia,100.0,100.0,100.0,4878.78,-2.0,105.1,1.049265,51.25,,-964.526621,1.0,20.0
1,2013-02-01,Australia,68.26662620298798,89.95531459793727,100.0,5104.08,1.0,107.64,1.032628,51.5,,1053.590722,1.0,0.0
2,2013-03-01,Australia,75.43611984640087,103.04326648171286,100.0,4966.5,4.0,102.52,1.033665,53.2,,3361.356694,1.0,1.0
3,2013-04-01,Australia,123.03253975039672,129.6554353120566,100.0,5191.22,11.0,98.85,1.03767,52.0,,2121.237607,1.0,11.0
4,2013-05-01,Australia,158.3749479719147,122.68472436942757,100.0,4926.57,17.0,99.37,0.992279,54.0,,2464.090152,1.0,0.0
5,2013-06-01,Australia,184.43921005628897,118.75622101272793,100.0,4802.59,21.0,99.74,0.942614,48.2,,3548.849761,1.0,0.0
6,2013-07-01,Australia,174.0544042302709,124.27836252356045,100.0,5051.98,24.0,105.26,0.916587,47.75,,222.8846595,1.0,10.0
7,2013-08-01,Australia,163.36424169594176,123.14322624367308,100.0,5134.96,24.0,108.16,0.903751,52.0,,1683.681312,1.0,0.0
8,2013-09-01,Australia,196.9045755588732,118.45761240178743,100.0,5218.88,19.0,108.76,0.926318,46.8,,1328.583092,1.0,4.0
9,2013-10-01,Australia,175.884571406022,148.40953853321756,100.0,5425.5,14.0,105.43,0.951689,49.75,,578.7499762,1.0,4.0
10,2013-11-01,Australia,107.94829418347145,143.7133357334971,100.0,5320.05,10.0,102.63,0.932503,55.75,,62.51749557,1.0,0.0
11,2013-12-01,Australia,116.94804895854571,148.2199961879752,100.0,5352.21,2.0,105.48,0.898154,53.0,,4562.276557,1.0,10.0
12,2013-01-01,Bahrain,100.0,100.0,100.0,1085.14,-1.0,105.1,2.652327,76.26,,,1.0,13.0
13,2013-02-01,Bahrain,113.38168768967174,84.76379330456083,100.0,1089.94,-2.0,107.64,2.652456,64.25,,,1.0,0.0
14,2013-03-01,Bahrain,95.5459223524449,88.58742563863292,100.0,1091.58,-2.0,102.52,2.652591,61.21,,,1.0,0.0
15,2013-04-01,Bahrain,98.68304846254527,86.60212294412692,100.0,1104.17,-2.0,98.85,2.6524,70.17,,,1.0,0.0
16,2013-05-01,Bahrain,111.22818203094076,92.57902717835064,100.0,1196.46,-2.0,99.37,2.652498,68.21,,,1.0,1.0
17,2013-06-01,Bahrain,103.95162509739413,93.03277732415724,100.0,1187.79,-1.0,99.74,2.652539,63.31,,,1.0,0.0
18,2013-07-01,Bahrain,62.820244879404655,79.95917415140558,100.0,1194.9,-2.0,105.26,2.652505,62.24,,,1.0,34.0
