,Date,Nationality,Visitor_Index,Seat_Index,Outbound_Index,Stock index value,Temperature Difference,Oil Price,Exchange Rate to USD,Google Searches,Flight Prices,Trade Flows,Visa Policy,Vacation Days
0,2013-01-01,Japan,100.0,100.0,100.0,11138.66,16.0,105.1,0.011223,43.0,,-18316.70403,1.0,9.0
1,2013-02-01,Japan,100.5504515298056,90.32258064516128,100.0,11559.36,17.0,107.64,0.010738,51.0,,-8300.510271,1.0,1.0
2,2013-03-01,Japan,102.85088928019218,100.0,100.0,12397.91,13.0,102.52,0.010551999999999999,37.0,,-3765.198453,1.0,8.0
3,2013-04-01,Japan,74.40059527090338,96.77419354838709,100.0,13860.86,14.0,98.85,0.010218999999999999,45.0,,-8980.248548,1.0,8.0
4,2013-05-01,Japan,75.08216885155069,96.49479298958595,100.0,13774.54,13.0,99.37,0.009906,47.0,,-9807.101878,1.0,4.0
5,2013-06-01,Japan,71.34214442571732,108.13890199208971,100.0,13677.32,12.0,99.74,0.010245,39.1,,-1854.777342,1.0,0.0
6,2013-07-01,Japan,62.64138409187826,114.73565804274466,100.0,13668.32,10.0,105.26,0.010028,40.1,,-10350.386059999999,1.0,1.0
7,2013-08-01,Japan,90.57255661890768,114.73565804274466,100.0,13388.86,9.0,108.16,0.010226,47.0,,-9925.495504,1.0,31.0
8,2013-09-01,Japan,106.41105602566742,111.2014224028448,100.0,14455.8,11.0,108.76,0.010088,34.1,,-9501.002731,1.0,2.0
9,2013-10-01,Japan,86.39043041103281,119.91001124859392,100.0,14327.94,13.0,105.43,0.010218999999999999,46.0,,-11249.34222,1.0,1.0
10,2013-11-01,Japan,88.16623491153612,116.04194636960705,100.0,15661.87,15.0,102.63,0.01,48.0,,-13038.503999999999,1.0,3.0
11,2013-12-01,Japan,115.52650434994504,119.42378170470629,100.0,16291.31,15.0,105.48,0.009656999999999999,47.0,,-12640.37747,1.0,8.0
12,2014-01-01,Japan,106.25223009018994,115.04771580971732,97.95313238901478,14914.53,14.0,102.1,0.009615,49.1,,-26892.91745,1.0,9.0
13,2014-02-01,Japan,134.97898275977104,108.30581661163325,97.95313238901478,14841.07,17.0,104.83,0.00979,58.1,,-7891.15537,1.0,1.0
14,2014-03-01,Japan,129.30374771189122,119.91001124859392,97.95313238901478,14827.83,16.0,104.04,0.009778,55.0,,-14179.20875,1.0,8.0
15,2014-04-01,Japan,81.93300591499694,117.01440545738235,97.95313238901478,14304.11,15.0,104.87,0.009755,50.1,,-8048.896318000001,1.0,8.0
